 a close up of a blue and white toothbrush ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/icon.jpg
 a close up of a blue and white tooth brush ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/icon.jpg
 a close up of a person holding a white frisbee ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/icon.jpg
 a man holding a nintendo wii game controller ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e17e4b563bf36f9b8c3aad53807d14d4.jpg
 a man holding a nintendo wii controller in his hand ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e17e4b563bf36f9b8c3aad53807d14d4.jpg
 a man holding a nintendo wii controller in his hands ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e17e4b563bf36f9b8c3aad53807d14d4.jpg
 a man in a suit and tie holding a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e17e4b563bf36f9b8c3aad53807d14d4.jpg
 a man wearing a hat and a tie ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/fad05120023057b38ff98af9cb4e345c.jpg
 a man in a red shirt and a tie ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/fad05120023057b38ff98af9cb4e345c.jpg
 a man wearing a red shirt and a tie ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/fad05120023057b38ff98af9cb4e345c.jpg
 a close up of a vandalized street sign ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/tokyo2020-300-150.jpg
 a close up of a vandalized stop sign ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/tokyo2020-300-150.jpg
 a close up of a stop sign with a sky background ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/tokyo2020-300-150.jpg
 a close up of a stop sign with a street sign ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/tokyo2020-300-150.jpg
 a close up of a vase with flowers in it ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/06eccdad315f13c205ccaca624509384.jpg
 a close up of a flower in a vase ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/06eccdad315f13c205ccaca624509384.jpg
 a close up of a vase with flowers on it ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/06eccdad315f13c205ccaca624509384.jpg
 a large air plane on a run way ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/81691a5a98bb561799f049bc596f1c38.jpg
 a large air plane on display at a museum ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/81691a5a98bb561799f049bc596f1c38.jpg
 a large air plane on display in a museum ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/81691a5a98bb561799f049bc596f1c38.jpg
 a group of people sitting around a table eating food ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/b43716233c264150fbe1ce3035a12359.jpg
 a group of people sitting around a table with a cake ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/b43716233c264150fbe1ce3035a12359.jpg
 a group of people standing around a table with a cake ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/b43716233c264150fbe1ce3035a12359.jpg
 a group of people standing next to each other ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e02102122a2fa9c2d5bd901a0df483a9.jpg
 a group of people standing around a train station ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e02102122a2fa9c2d5bd901a0df483a9.jpg
 a group of people standing next to each other on a train ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e02102122a2fa9c2d5bd901a0df483a9.jpg
 a group of people standing next to each other on a bus ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/e02102122a2fa9c2d5bd901a0df483a9.jpg
 a man in a suit and tie standing in front of a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/cfe383ea02c9c0bb621e27e1b29eb968.jpg
 a man in a suit and tie holding a microphone ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/cfe383ea02c9c0bb621e27e1b29eb968.jpg
 a man in a suit and tie standing in a room ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/cfe383ea02c9c0bb621e27e1b29eb968.jpg
 a man in a suit and tie standing in front of a podium ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/cfe383ea02c9c0bb621e27e1b29eb968.jpg
 a man in a suit and tie standing in front of a mirror ,/Users/yingzhong/Documents/chainer-caption-master/dataset/image/w5/cfe383ea02c9c0bb621e27e1b29eb968.jpg
